Epoch,FID,Gen_Loss,Disc_Loss
4,299.7993005,5.1573324,0.295869499
9,267.969475,10.386825,0.170779333
14,243.6603641,6.1599483,0.186863825
19,256.2700777,6.3545437,0.257640243
24,236.5393168,7.829272,0.222627237
29,230.4456443,7.348991,0.215683788
34,234.5907959,8.348466,0.190044284
39,221.5716071,6.176417,0.214538246
44,227.723674,5.937834,0.192658275
49,234.0420991,6.572912,0.244989663
54,257.3803394,8.832708,0.194643483
59,222.8678955,7.998169,0.194723174
64,234.6638197,6.758027,0.235893354
69,226.0550945,9.527853,0.209257901
74,221.2390707,9.461586,0.222368032
79,234.3856571,9.452633,0.217029452
84,225.2666616,6.2560954,0.183910519
89,223.8561449,8.6804905,0.180469394
94,227.0405778,7.483227,0.222377077
99,231.5014138,6.4489355,0.221289173
104,225.8263058,8.936129,0.389053702
109,222.6385495,9.662186,0.175295144
114,234.2760242,8.558657,0.195086032
119,227.629824,9.766157,0.179681763
124,222.0090582,7.3639727,0.179804698
129,218.6371424,6.426339,0.177676573
134,217.6992814,10.180838,0.198723599
139,230.5726891,8.751167,0.199176461
144,220.4362735,7.377718,0.194396719
149,216.8348626,8.131269,0.181025043
154,221.3139217,6.4297614,0.279941171
159,223.8435976,6.957137,0.178361505
164,220.8392342,9.691881,0.175321206
169,218.9603997,11.184069,0.197142497
174,214.4920451,6.152276,0.179993421
179,214.8177926,8.730526,0.173062369
184,215.3688353,9.4569435,0.199241623
189,218.7012344,12.539305,0.17174761
194,218.9409339,9.737369,0.170600116
199,217.4856025,8.049026,0.176244125
204,211.285899,6.9549265,0.237415612
209,216.5865626,9.199444,0.195598841
214,213.037272,9.627395,0.175934494
219,215.0954418,9.745871,0.182888806
224,214.1173356,6.767084,0.241687983
229,213.5904163,9.749281,0.201494724
234,215.9646582,8.184483,0.198936075
239,216.1068632,9.632032,0.173113033
244,212.2447621,4.2697,0.281057864
249,222.709174,4.4815054,0.318478227
254,212.9897858,5.578276,0.254924834
259,220.1479792,8.319052,0.230048075
264,220.4676481,9.943773,0.172192231
269,218.6920318,6.735243,0.197311342
274,210.9853215,7.531563,0.186996222
279,206.9103088,6.1652822,0.223174721
284,208.1432827,9.11581,0.185252756
289,217.331526,8.516542,0.190360799
294,208.8637605,10.908358,0.170744583
299,216.5284355,8.479297,0.188306674
304,218.0302439,8.612381,0.184178203
309,209.4450931,6.687976,0.237743869
314,209.5779586,7.787367,0.209389508
319,218.1033381,7.99532,0.185207769
324,208.3173603,11.460979,0.221027598
329,208.3105788,9.575935,0.171735793
334,211.9950147,8.9706,0.185793877
339,215.0791734,7.739034,0.210697815
